sim	t	arm	reward	cum_reward
50	40	1	0.7575846982805465	29.62108478699355
50	41	1	1.0289044567027061	30.649989243696254
50	42	1	0.8471947961575625	31.497184039853817
50	43	1	0.9622472604712187	32.459431300325036
50	44	0	-1.2835805422857445	31.175850758039292
50	45	1	0.1621848817715701	31.33803563981086
50	46	1	-0.6657479171808471	30.672287722630013
50	47	0	0.36000558043546804	31.032293303065483
50	48	1	0.4150004112011065	31.44729371426659
50	49	0	-0.8434324850750331	30.603861229191555
50	50	1	1.4152133900688213	32.01907461926038
50	51	0	0.5260670654857669	32.54514168474615
50	52	0	1.3011025811148382	33.84624426586099
50	53	1	-0.6628394503278701	33.183404815533116
50	54	0	1.1325085256099923	34.31591334114311
50	55	1	0.766637273925299	35.082550615068406
50	56	0	1.8268229099335205	36.909373525001925
50	57	1	-1.1133189283254608	35.79605459667646
50	58	0	0.1084305233397806	35.90448512001624
50	59	0	-0.12939596077232063	35.77508915924392
50	60	0	2.3450250947817994	38.120114254025715
50	61	0	0.7120823055638841	38.8321965595896
50	62	0	1.604776196341716	40.436972755931315
50	63	0	2.2395787954079927	42.67655155133931
50	64	0	-0.3149427376546543	42.361608813684654
50	65	0	-1.6728253327288019	40.688783480955856
50	66	0	1.1324884741222476	41.8212719550781
50	67	0	-0.5411275375956445	41.28014441748246
50	68	1	-0.540244816178918	40.73989960130354
50	69	1	1.2639719833198555	42.0038715846234
50	70	0	-1.152640739794236	40.85123084482916
50	71	1	0.8821442149661425	41.7333750597953
50	72	1	0.5586618223791985	42.2920368821745
50	73	0	0.9300954480548977	43.2221323302294
50	74	0	0.3635941909458325	43.58572652117523
50	75	0	2.2543428936437904	45.84006941481902
50	76	0	-0.8230513745254694	45.01701804029355
50	77	0	1.893270636954595	46.91028867724815
50	78	0	1.0652094885984211	47.97549816584657
50	79	1	0.32510252828947295	48.30060069413604
50	80	1	0.4757321249126042	48.77633281904864
50	81	0	1.5917045793202877	50.36803739836893
50	82	0	-0.5169216826649042	49.85111571570402
50	83	0	-0.7679234680023176	49.0831922477017
50	84	1	0.7661777172213652	49.84936996492307
50	85	1	2.0660975262343784	51.91546749115745
50	86	1	-0.7699740306819898	51.145493460475464
50	87	0	-0.43971531080333015	50.705778149672135
50	88	0	2.009634373045356	52.71541252271749
50	89	1	0.8120011718245523	53.52741369454205
50	90	0	-1.1726809045516107	52.354732789990436
50	91	0	1.003533711974764	53.3582665019652
50	92	0	2.085244055359859	55.443510557325055
50	93	0	-0.9159406655986239	54.52756989172643
50	94	0	0.26952183317735207	54.79709172490378
50	95	0	1.8312903757385124	56.62838210064229
50	96	1	0.49872411454505444	57.12710621518735
50	97	1	0.8327944778988975	57.95990069308625
50	98	0	0.9274224982195741	58.887323191305825
50	99	0	2.1356121685698755	61.0229353598757
50	100	0	-0.15515046036694202	60.86778489950876
50	101	1	1.4711177983263415	62.3389026978351
50	102	1	-1.7863160083044458	60.552586689530656
50	103	0	0.9706097130169504	61.523196402547605
50	104	1	1.2404558682209004	62.7636522707685
50	105	0	1.5257551203455675	64.28940739111407
50	106	1	-1.4674744465557512	62.82193294455832
50	107	0	2.370783829493468	65.19271677405179
50	108	0	1.6310556575195063	66.8237724315713
50	109	0	-1.3923357655893018	65.43143666598199
50	110	0	-0.888996128371259	64.54244053761073
50	111	0	1.2599420912754602	65.80238262888619
50	112	1	0.5345900064878798	66.33697263537407
50	113	1	1.0498646454157619	67.38683728078983
50	114	0	3.0999012383526803	70.48673851914252
50	115	0	0.669478160313243	71.15621667945577
50	116	0	0.5682508821820689	71.72446756163784
50	117	0	-0.8336996105038083	70.89076795113402
50	118	1	0.47093815912915293	71.36170611026317
50	119	1	0.7047544715197357	72.0664605817829
50	120	0	2.524707351530333	74.59116793331324
50	121	1	0.06876986441729899	74.65993779773055
50	122	0	0.1787081965839566	74.8386459943145
50	123	0	1.0301949403032946	75.8688409346178
50	124	0	0.36093321297779024	76.22977414759558
50	125	1	0.8692974371461095	77.0990715847417
50	126	0	-0.35790685386394294	76.74116473087776
50	127	1	0.7400901642087716	77.48125489508652
50	128	0	1.4901070584095075	78.97136195349603
50	129	0	1.9597812703087643	80.9311432238048
50	130	0	1.2434785847607892	82.17462180856559
50	131	0	0.5312964802379899	82.70591828880357
50	132	0	0.9076662530185808	83.61358454182215
50	133	0	0.6807888919572322	84.29437343377938
50	134	0	0.37411154727387197	84.66848498105325
50	135	0	-1.1637923369838226	83.50469264406944
50	136	0	0.37642799379697645	83.88112063786642
50	137	0	0.10635441337269447	83.98747505123912
50	138	0	0.6050566998335126	84.59253175107263
50	139	0	2.8702561235027813	87.46278787457541
50	140	0	2.5730498210389263	90.03583769561433
50	141	1	1.5017218153894223	91.53755951100375
50	142	1	0.702865676141349	92.24042518714509
